Umur,BW,%Panen,Deplesi,IP
28.57,1.05,19.19,3.47,282.00
27.15,1.06,21.56,4.11,318.00
28.39,1.34,25.36,5.94,427.00
27.05,1.28,26.78,4.40,407.00
27.24,1.19,26.96,2.77,353.00
26.66,1.34,27.81,3.75,432.00
26.77,1.26,28.12,3.37,355.00
26.03,0.95,28.42,3.92,271.00
28.54,1.07,29.00,3.95,285.00
28.82,1.47,29.82,2.94,447.00
27.65,1.40,29.90,4.10,363.00
26.91,1.12,30.05,3.67,329.00
27.63,1.25,30.43,2.40,368.00
27.46,1.33,30.58,2.25,384.00
26.67,1.33,31.01,3.65,388.00
27.93,1.24,31.34,5.12,346.00
27.99,1.38,31.68,3.97,422.00
27.61,1.28,32.06,1.91,385.00
27.21,1.20,32.11,3.14,367.00
25.66,1.30,32.17,2.88,433.00
28.29,1.25,32.18,3.82,343.00
28.28,1.35,32.55,2.62,412.00
27.77,1.34,32.90,2.65,413.00
26.08,1.09,33.26,2.49,339.00
25.58,1.18,33.28,3.65,349.00
26.67,1.09,33.38,2.65,348.00
27.36,1.44,33.56,3.38,437.00
25.99,1.11,34.31,2.44,375.00
28.34,1.21,34.61,3.97,311.00
27.33,1.37,34.77,4.40,381.00
28.36,1.36,35.17,5.61,343.00
27.40,1.26,35.24,3.15,381.00
25.01,0.96,35.25,2.94,306.00
27.48,1.16,35.28,2.83,341.00
27.22,1.18,35.36,3.84,315.00
26.93,1.11,35.50,4.15,304.00
27.94,1.24,35.52,2.96,384.00
27.48,1.20,35.66,2.41,324.00
26.80,1.26,35.69,2.71,369.00
27.27,1.39,35.88,3.39,464.00
26.99,1.28,36.37,2.69,353.00
26.89,1.18,36.45,3.64,378.00
27.37,1.13,36.59,4.41,330.00
28.01,1.24,36.98,3.71,376.00
27.71,1.41,37.07,2.68,436.00
27.45,1.38,37.37,3.37,404.00
27.95,1.20,37.94,3.79,295.00
27.44,1.31,38.06,3.03,375.00
27.43,1.31,38.26,2.95,389.00
26.96,1.22,38.29,2.98,371.00
27.60,1.21,38.46,3.55,343.00
27.07,0.97,38.52,3.99,293.00
27.30,1.37,39.16,2.51,393.00
26.40,1.16,39.34,3.48,296.00
27.28,1.10,39.37,2.81,306.00
27.28,1.10,39.37,2.81,276.00
27.43,1.37,39.38,3.62,413.00
26.79,1.19,39.50,3.42,340.00
27.48,1.24,39.61,4.76,373.00
29.40,1.07,39.91,8.59,228.00
27.82,1.33,40.00,2.96,373.00
